id,username,location,text,sentiment
32,DemocratMarine,,barneslaw Seals that cant get a vaccine are WUSSYs,0.0
33,Just Me,The Real World,RT Covid19Crusher The more vaccine shots in the armsthe more new Covid casesThat is what the data per state currently shows in,0.0
34,Kim Ferrero,"Philadelphia, PA",Im a member of a local Facebook group and am constantly amazed at how many adults here are antimaskantivax Som httpstcozlqZu6B96t,0.4939
35,Adorable Bob Smith,"Rio Rancho, NM",For all the government employees twitter trolls bots and libtards that said over 18 months ago I would be dead f httpstcoKLYvXfSHRo,-0.6486
36,Kamruz Jaman,At Home,RT lewisgoodall Talk of 4th round of boosters but really important to remember many countries have barely begun with two doses More tha,0.3898
37,Hanna Myers,llolpppL,RT lsferguson Congress is exempt from the vaccine mandate  Make your decisions accordingly,0.1027
38,Living Healthy,United States,Walmart temporarily shut nearly 60 US stores for COVID cleaning in December httpstco1HFs6PsSIJ Covid19 httpstcoKLxEnpNk18,0.0
39,Heather Hunter,"Washington, D.C.",RT washingtonpost Sheep goats join Germanys coronavirus vaccine drive  forming the shape of a 330foot syringe httpstcoQT65wRdyPR,0.296
40,Arvin Reyes,"Richmond, TX",RT CharlesCMann Indian media has reported that the price per dose may be as low as 250  which would make new patentfree Corbeva,-0.2732
41,"Sarah Ackley, PhD","San Francisco, CA",lalasoo GrantBlank mentalplex EpiEllie BillHanage FWIW my dissertation was on vaccinepreventable disease i httpstcoNiF7F86qGI,0.0
42,Tony,,MikeMejia3D PaulJLockwood joshtpm She was antivax since before COVID She used to protest vaccine rules for children in schools,-0.25
43,Cannabis Saves The World,"Hollywood, Los Angeles",RT Covid19Crusher The more vaccine shots in the armsthe more new Covid casesThat is what the data per state currently shows in,0.0
44,Caroline Aikin,,RT lewisgoodall Talk of 4th round of boosters but really important to remember many countries have barely begun with two doses More tha,0.3898
45,Barbara Fernandez,,RT madridmike This is so sad GOP leader Kelly Ernby died from COVID at 46 years old Reading her twitter feed is a litany of antivacci,-0.822
46,girl🍹3,"Pennsylvania, USA",MgvillanMp The dumb is strong Her vaccine doesnt work so get it ,0.4404
47,Lipadillas,Parati,CraigASpencer In a country where scientific evidence of Covid vaccine effectiveness and safety is available for httpstcoM5GlwBlVJY,0.4215
48,m | 103 🏆,,When will people understand that there is NOT A SINGLE permanent reason why someone cant get the vaccine,0.0
49,Chris Wenstra,WNY,I just got a first hand account of a coworker saying goodbye to his sister over FaceTime Covid No vaccineI keep httpstcoidNNPpQbFc,0.25
0,SERENITY NOW!,,BITPIP HereToRebuild pameladahl melinamanolas Many also had Delta which gave them some immunityjust as if t httpstcoFCavEBpBis,0.0
1,abcd,,RT Tweetadee1926 So all you vaxxedhows that Vaccine Passport working for you Aint going anywhere are you NOW ARE YOU AWAKE,0.0
2,NoraSuperPatriot,,wolfepoppycock 4HumanUnity tedcruz Choosing to be ignorant doesnt negate informed consent Vaccine mandates a httpstcoapdn3kuFNX,-0.0516
3,Gareth Stothard,"Sunderland, England",RT Milesy022 Encouraging children to take an experimental vaccine with dangerous adverse effects for a virus they are virtually at no r,-0.5267
4,Kah,Long Island,pittypt Blueshirt26 HM64444420 News12LI One more for you Pitty  back in May this was accurate  The vaccine httpstcoj4aXElfY98,0.0
5,Marcia Ernst,"Minnesota, USA",RT QuoteDigging NikkiFried Republicans have fought mask requirements and vaccine mandates for months but as coronavirus infections agai,-0.1655
6,Melva D Strockman,,RT geargodd GovRonDeSantis Ever consider prevention I hear there are masks and vaccines for these things If your wife truly has cancer,0.4404
7,Je suis La Resistance 🇺🇸,,RT BNODesk Orange County California Deputy DA Kelly Ernby who spoke at a rally against COVID19 vaccine mandates last month has died,0.0
8,John R. Santolucito,,RT realTuckFrumper This Orange County Republican who campaigned against vaccine mandates just died of COVID19 httpstcobP8kt3pHg3,-0.5574
9,TwinkleTwink,Right behind you?,RT Smajor1995 Ive had 3 vaccines and not ONCE have I been given a sticker  Ugh whats the point without it That part is a joke get,-0.2244
10,Alicia Noel (凤兰）🌱🍚🍅🛰,Earth,Im curious how much of an impact this will have on vaccination rates In the short term I expect to see a spike i httpstcokRGwdCCtN8,0.3182
11,Watch_Dawg,"Alberta, Canada",RT ComradeVero So youve got a vaccine passport but you cant go anywhere with itAh the irony Perhaps you should stop calling i,-0.4767
12,Teapot Dome was Amateur Hour!,"Phoenix, AZ",questauthority Theyve only agreed to 16 previous vaccinations all of which were developed in a similar way It w httpstcotd05M62Ktg,0.2732
13,Cornczech,somewhere,RT ElectionWiz JUST IN A federal judge granted a temporary injunction Monday against a federal vaccine mandate for Navy SEALs who sued,0.25
14,💎lynn_jezzica,walnutport,RT Qbaba369 The most ironic part is that horsemedicine Ivermectin worksright joerogan  What a movie this truly is  credit htt,0.7234
15,Alan Murray,,RT Rogue74 joco2014 ourkaty AlanMur67591225 The virus is now endemic It will be with us for many years now and will mutate If we ar,0.0
16,Ivan Kolev,EU,RT laurahelmuth Justapproved CORBEVAX about to reach hundreds of millions of people is first COVID vaccine designed specifically for,0.0258
17,🇺🇸 Dante 🇺🇸 #GodBlessAmerica 🇺🇸 and #Israel,,RT dianag979 ColbysBack Maybe the vaccine doesnt work  novel idea Good thing is now the baby will have antibodies against it in the,0.6369
18,Bruce Allen,"Oregon, USA",RT KarinPofsky ILPollster RVAwonk Vaccine mandates are 100 constitutional  Hence you dont have Polio Just as one example,0.0
19,Mikey, Canada,RT GovGone Ontario has never once been fully open since 2 weeks to flatten the curve That is how they can easily re implement the leve,0.34
20,E17 Conservatives,Walthamstow,RT Conservatives  One year ago today the first OxfordAstraZeneca vaccine was administered  25 billion doses have now been adminis,0.0
21,Nano technologies,Provence-Alpes-Côte d'Azur,RT valnevaSE DYK that in 2021 COVID19 vaccine outputs were estimated at over 12 billion doses amp are expected to hit 24 billion by mid2,0.0
22,Wassen,,RT RepThomasMassie Everyone knows the vaccine is not 100 safe and it is not 100 effectiveAfter we admit those facts we can have a r,-0.4871
23,Yasmin Stefanie Syed,"Brighton, UK",RT DExpressSport Unvaxxed Tennys Sandgren makes Novak Djokovic claim after withdrawing from Australian Open httpstco42AME9JDVM,0.0
24,K K ⚖️🇺🇸,,RT RandPaul Were being asked to approve this as a 3 dose vaccine for people gt16 yrs old without any clear evidence  member Dr Paul O,-0.2924
25,All about Germany | deutschland.de,Frankfurt a.M.,RT GermanEmbassy 150m doses of COVID19 vaccines have been administered in Germany since the start of the vaccination campaign on 27 Dec,0.0
26,Diaz-Luna ☮️,Planetary Citizen,RT RVAwonk The same federal judge who struck down the Affordable Care Act just ruled against the Biden administrations vaccine requireme,0.296
27,⏳WhistleBlowersNeedJAssange,"Chico, CA",DrasticRapid StephanHart PMcCulloughMD JamesGRickards TuckerCarlson IngrahamAngle Daystar joerogan CDCgov httpstcoHJLRGcxKJx,0.0
28,khai,"montreal, qc",RT ChrisGNardi Heres a Canadian first to me Quebec will soon extend its vaccine passport program to both liquor and pot stores meaning,0.1779
29,maria,,RT Egottweets If you were told in March 2021 when you received your Covid vaccine that gt75 of adults in the US would get their shots,0.0
30,Ned Ryun,Virginia,Bizarre really And clearly not a vaccine At best a therapeutic shot The entire covid vaccine shot was a lie httpstcoNgTU4wFCtb,0.7076
31,Bella,"Dallas, TX",RT JessicaforRI Rhode Island makes national news and once again its not goodAnother mindless draconian policy that is literally cost,0.0
32,⚖️ Kathrina Visitkarte,Switzerland ,RT LarryTenney Yesterday we learned repsteels unvaccinated OCGOP colleague Kelly Ernby died of Covid They politicized COVIDAlso yes,-0.5574
33,Mark Lambert,"Converse, TX",RT madridmike This is so sad GOP leader Kelly Ernby died from COVID at 46 years old Reading her twitter feed is a litany of antivacci,-0.822
34,Christine Elliott,,In Ontario 27570940 vaccine doses have been administered with over 148000 doses administered yesterday 909 httpstco9xaTTtnNgr,0.0
35,jan dodge,United States,RT OMGno2trump I dont understand how people whos chosen profession is killing other people can claim a valid religious objection to get,-0.6597
36,US Headline Bot,,New York Times altered a news headline httpstco16eeqcsThY httpstcoeqK6OurwuQ,0.0
37,manonhisown69,,NYCISBACK bennyjohnson do they look sick well nooh ok who gives a sht then its a cold we have to find httpstcoTprxL75HSy,-0.3736
38,genereaux2019,,RT LarryTenney Yesterday we learned repsteels unvaccinated OCGOP colleague Kelly Ernby died of Covid They politicized COVIDAlso yes,-0.5574
39,Leahbea😂😜,"Brandywine, MD",Maricary409 mayorsnorkum kdskipper softuch25 So that means hes high risk so covid definitely didnt help my f httpstcoDwURnxuUom,0.5542
40,TheFantasticMrSox,surface of the sun,dustenf PenderDerek rampage427 collectorcriss CardPurchaser Aside from his actual scientific data I current httpstcoBYMSYzb62q,0.0
41,Sean #BlackLivesMatter,Walsall,RT NathanIsBackIn1 Katynurse27 Your friends on here have your back Youre the trained professional Katy I trust your judgement concern,0.7506
42,choweb,England ,scarw7 ClutchNegroV3 h3h3productions all the fat people should just roll over and die in the face of covid then httpstcoQLZHzVIl42,-0.5994
43,AlexAPatriot,"Phoenix, AZ",RT Chicago1Ray So the inventor of the vaccine is banned from Twitter for talking about the vaccine you cant make this shit up,-0.8047
44,gerda scalzini,Cape Town,RT LukeySulz CopyOfOne1 midnightchoir9 Ok Ill forgive that slip because the powers that be did change the definition of vaccine on,0.2732
45,LondonLad2021,"South East, England",RT talkRADIO Should we give a fourth jab My answer is noFormer UK Vaccine Taskforce chair Dr Clive Dix The likelihood is we sho,0.0
46,Trader69🇺🇸🦊,, jimcramer nobody said the vaccine prevents infection and transmission the EXPERTS said it httpstcorgYMb1WeVp,0.1511
47,Sam Hutchins,"London, England",RT TheDavidNovak nypost Who in the there right fucking mind thought this would be a good idea Yeah I was unsure about getting the vacci,0.4767
48,ellen williams,,RT lewisgoodall Talk of 4th round of boosters but really important to remember many countries have barely begun with two doses More tha,0.3898
49,Peter Rabbit Documenting our Demise,your naval,POTUS VACCINE EQUITY NOW Pharmaceutical Corporations are prolonging this by NOT allowing others to use their patents,0.0
0,CSM TRUTH,,RT BarringtonII The vaccine protects you from serious illness or deathDoes one not have a free choice on how they would like to liv,-0.2946
1,Paul Anthony,Ireland,M477OLI I fact Im checking out the feasibility of combining jab No 4 with a holiday to Cuba they have a perfect httpstcod2NM5w7XD0,0.128
2,Monty,,AgentLeonV3 Why is vacation still an issue are they aware that the vaccine is still in a trial phase and rememb httpstcoPS3rqFfCGA,0.0
3,DexSpecter,,RT patrickc To follow up on this one a bitThe specific thing that I think is underappreciated is that the three companies that made t,0.0
4,Alexis 💪🏽🏳️‍🌈,"Chicago, IL",RT apecatlady In other words GOP politician Kelly Ernby a vocal opponent of COVID vaccine mandates fcked around and found out,0.0
5,Darin Howard,"Calgary, AB - Canada",JustinTrudeau We are prochoiceWe are NOT racist  Misogynist  Extremistdo we tolerate these 458 million httpstcohQec0nAm2U,0.4973
6,Joshua McMinn,California Republic,RT madridmike This is so sad GOP leader Kelly Ernby died from COVID at 46 years old Reading her twitter feed is a litany of antivacci,-0.822
7,Jeffrey Trainer,,BBCWorld Wellthey dont have to worry about the vaccine any longer ,-0.4404
8,MyNorthwest 🌲,Seattle,The more recent longerterm pass closures have had to do with heavy snow and heavy windshttpstcoitSYwzgaYh,0.0
9,gordon wade,,RT lavernspicer CDC uses language like Its IMPORTANT and Its RECOMMENDED when talking about getting vaccinated for every airborne,0.3612
10,remachhabra,"New York, USA",WriterDG So glad youre all ok Im sure the booster helps Ive just recovered from being sick for 7 weeks no C httpstcoDujHwNXQar,0.5984
11,Alex,New England,RT aroseblush     CDC shortens Pfizer booster wait time to 5 months after vaccine   httpstcoovIZIGhWoz,0.0
12,Catherine Thee Boosted 💉💉💉🎄🎅,"Scio, OR",RT axios If you got the Pfizer vaccine the CDC now recommends getting a booster 5 months after your second shot instead of 6httpst,0.2263
13,Janey 💙🇪🇺🇪🇦😷,,RT jayvanbavel Malone seems to be creating fake concepts to cover up for the misinformation he has been spreading about vaccines https,-0.4939
14,James Palmer,genocide deniers get blocked,there are things the government actually does have the power and capacity to do and is not doing and we should c httpstcobtTS58hy3B,0.0
15,JohnBlue,Greece,RT ElectionWiz Dr Malone on the GreatReset Theyre proud of it They dont hide it This is the vision This is a fullon globalist t,0.6826
16,The_Ghost_of_Herman_Cain,,OCDAToddSpitzer Im dead because there wasnt a vaccine when I was infected I probably wouldnt have taken the sh httpstcoI2bG5d8TCi,-0.8176
17,"Find the truth, follow the money","Gig Harbor, WA",mirandaburrell1 Ralor9 mcityre HeatherMack18 Science proves the vaccine keeps you off the ventilator Clinical httpstcovX0CzjaHKC,0.0
18,bob hawkins,georgia,RT UncvrngTheTruth Antivaxxer freedomloving Kelly Ernby an Orange County GOP DA who ran for state Assembly has died from Covid Kel,-0.5574
19,Alex_Ari,"Toronto, Canada",RT ChrisGNardi Heres a Canadian first to me Quebec will soon extend its vaccine passport program to both liquor and pot stores meaning,0.1779
20,FredaCapetown 🇿🇦,,RT RepThomasMassie Everyone knows the vaccine is not 100 safe and it is not 100 effectiveAfter we admit those facts we can have a r,-0.4871
21,ET Canada,Canada,RT globalnews WATCH Canadian Prime Minister Justin Trudeau received his booster dose of the COVID19 vaccine on Tuesday  After being in,0.0
22,Neil Redpath,,RT ComradeVero So youve got a vaccine passport but you cant go anywhere with itAh the irony Perhaps you should stop calling i,-0.4767
23,UW Dawg Fan,"Seattle, WA",RT Independent BREAKING Republican DA who fought California vaccine mandates dies from Covid httpstco4xF7N3j9Mo,-0.3182
24,PPR,,RT notmuchhelp77 California Deputy DA Who Fought Vaccine Mandate Dies Abruptly After Falling Ill With COVID at Age 46 GetVaccinatedNow,-0.6908
25,Popitics,,The school board agreed to effectively push back against Californias pending vaccine mandate for eligible public s httpstcoJoOKmK1oK5,0.6124
26,Matthew Harris,"Essex, UK",SkyNewsBreak what they forgot to say was he probably had it again recentlyTemporary medical exemptions from httpstcoXaeTcIGLiw,0.0
27,unalienparle,,RT valnevaSE DYK that in 2021 COVID19 vaccine outputs were estimated at over 12 billion doses amp are expected to hit 24 billion by mid2,0.0
28,Lynda🕊️❤️🦋,Uganda,RT itsGlane The vaccine doesnt delay your periods my dear    You just messed with the wrong Johnson ,0.8457
29,RRobi 💙 🐝💚,,Petition Fasttrack rollout of Covid vaccine in 511s post MHRA approval httpstco1VclsDspjg,0.4767
30,GreyBruceHealthUnit,Owen Sound,Catch up on our latest news Pfizer vaccine is reserved for ages under 30 years  httpstcolyxNiSIBhK GBHU Vac httpstcoBzE1aETMjx,0.0
31,⚡️LouisianaAryan⚡️,,Love it how Amazon literally puts out a series called Utopia in 2020 about making the world sterile through vaccine httpstcojrccZtiDWz,0.7096
32,CDNFemme🇨🇦,"GTA, Ontario 🇨🇦",RT patrickc To follow up on this one a bitThe specific thing that I think is underappreciated is that the three companies that made t,0.0
33,Cuddy 777,Ft.Myers,RT sandyleevincent I have had side affects after the 2nd vaccine amp now seeing a neurologistMy hope is joerogan has a neurologist on hi,0.4404
34,Psychotherapist in Tallaght 🇮🇪🇪🇺,"South Dublin, Ireland",MurphyDunne DonnellyStephen dcediy FederationEarly rodericogorman Not to mention that children with underlying httpstco1ufwRhMNK8,0.0
35,Ron Portnoir🏴‍☠️,IRELAND,RT StanleyCohenLaw Personal freedom at its smartestCalifornia Deputy DA Who Fought Vaccine Mandate Dies Abruptly After Falling Ill W,0.5423
36,Ezzard C Burdette MD JD PhD MBA,"Atlanta, GA",RT CDCgov CDC updated its recommendations for use of PfizerBioNTechs COVID19 vaccine 1 People who got a PfizerBioNTech COVID19,0.0
37,Super Don,,Starbucks says employees must get vaccine or test weekly httpstcoJUJOt2CImI,0.0
38,Joanna Blythman,UK,RT MsGlynisBarber Im sure many will agree with this as the appetite for continual boosters seems to be waning Leading Oxford vaccine,0.5859
39,Johnny Dirtroad,,RT rpoconnor Just four doses of a twodose vaccine and 22 months and two more weeks to flatten the curve,0.0
40,geometricdrugs,,RT ApocalypseBarB Only 16 more months until Pfizer completes its clinical studies to determine if the vaccine PREVENTS coronavirus https,0.2577
41,Haeam,"New Delhi, India",RT MrSinha Thank you narendramodi ji for not falling into lefts propaganda standing firm with Indian vaccine manufacturers encouragi,0.2368
42,Jeremiah,,JJBoogie Can I just go get vials of the vaccine,0.0
43,Axios,,If you got the Pfizer vaccine the CDC now recommends getting a booster 5 months after your second shot instead of httpstcovVJz0YAf9s,0.2263
44,Semaj Thomas,,RT nypost Judge blocks Pentagon from punishing Navy SEALs who refused COVID vaccine httpstcogp1FWfjusx httpstcoK5KwCK6qtJ,-0.7717
45,Michelle Clarke,Dublin,RT RTcom Bidens vaccine mandate DIVIDES US as key workers sufferMORE httpstcoV4XJ3FDOz1 httpstcox05eZHFINO,-0.5423
46,new year's mix 🥳,"New York, NY",FORMER TRUMP ADVISER PETER NAVARRO ON VACCINE JABS FOR KIDS ITS CHILD ABUSE AT A MINIMUM AND MURDER IN SOME CA httpstcoom2Zn9uSJD,-0.9075
47,Edward Allen,United States,RT ShannonBream BREAKING  Federal judge just granted temporary injunction to group of Navy SEALS seeking religious exemption from vaccin,0.25
48,NeedANewDurag,Johannesburg South Africa,RT TennisGrapevine A Sputnik vaccinated player denied entry into Australia to play while Novak Djokovic is given a medical exemption to p,-0.128
49,feral housewife,,and this morning id like to thank Dolly Parton for funding the moderna vaccine that kept me from getting covid aft httpstcoOdPhcExxzE,0.6124
0,★Kristen Elizabeth★,United States,RT questauthority For those wondering what the religious objections are  in one case its a direct divine instruction not to receiv,0.5574
1,Rebecca,Canada,McGarrityTavern IrishIceSP rexzane1 Science is always working with the next vaccine possibility  They have been httpstcoou6N1II6Gt,0.0
2,Jason Shody,"London, Ontario",RT NathanStall Doug Ford was asked what he would be doing over the next 2 weeks to make schools saferHe didnt answerListen to the,0.4215
3,Kim Chernecky,Florida,RT FrankAmari2 SenTedCruz TedDo you happen to know Senator and purportedly devout Christian marcorubioSenator Marco Rubio Ev,0.0
4,Vlad,Romania,RT lifebiomedguru The Vaccine Lifecycle Lead to Vaccine Failure But Do Vaccines Inevitably Lead to Disease EnhancementThe general publ,-0.2846
5,LopiLoTi,Shoshone-Bannock Territory,damiteric denisedewald CDCgov POTUS Youre right and hey have the highest vaccine rate of the G7 dont they R httpstcoWZAOLlFIKf,0.0
6,William Crompton,,RT Pauline51734996 The only UK newspaper  Cheltenham to have a full page showing the vaccine deaths Please share to make viral https,0.5848
7,Adrian Lane,,RT dipaliadv BIG BREAKING Worlds first VACCINE MURDER case against Bill Gates Adar Poonawalla filed in Indias High Courthttps,-0.8079
8,Lara 🇺🇸🇬🇧,,Theres nothing that matters more than our freedoms right now  Kelly ErnbyGuess there was one thing  httpstcojYfLqnGDwV,0.3377
9,EM/CCC,,RT CDCgov CDC updated its recommendations for use of PfizerBioNTechs COVID19 vaccine 1 People who got a PfizerBioNTech COVID19,0.0
10,Erewash BC,"Derbyshire, UK",Every adult in the country now needs to get a Covid19 booster vaccine because two doses does not give you enough httpstcoktcMY24zaI,0.0
11,Katherine SLP,"Maine, USA",niravmainecdc Thank you for the vaccine clinics Is it possible to increase PCR testing capacity in the state I httpstcoLXSogo8iB1,0.5859
12,Chris Thorpe,Oxford,RT lewisgoodall Talk of 4th round of boosters but really important to remember many countries have barely begun with two doses More tha,0.3898
13,Wheezy,"Berlin, Germany",RT OMGno2trump I dont understand how people whos chosen profession is killing other people can claim a valid religious objection to get,-0.6597
14,Atlas84.io,,RT drscottatlanta Its nice to see the CDC admit that cloth masks are totally useless like I was saying the entire timeRemember whe,0.5082
15,Academic4321,,TermStayRes axios Will this same judge be able to intervene when these seals are passed over for promotion httpstcoWAWLhmtCin,0.0
16,Hardwork2u,,nicolemoralesdc WIGOPVictory GOPChairwoman Still waiting on that wall that Mexico was going to pay for It aint httpstcoY1iha0MpZW,-0.1027
17,chubbzz,,davidstachon Hayden4L Britonomist joerogan Covid isnt that serious if you get early treatment for it Saying t httpstcoxyIzNqdI55,0.0572
18,DL,,RT ChaserInterns Novak Djokovic too medically unwell to take a vaccine but still well enough to compete at a grand slam,0.5023
19,TCP,USA,With Omicron Variant on the Rise Thermal Custom Packaging TCP is Providing Secure Transportation of COVID Vaccin httpstcoggd0KdjPPZ,0.34
20,🇺🇸TradeWarrior🌐,,justAnother515 CavikFPS ryanstruyk CNN Interesting way of thinkingThe vaccine doesnt stop the spreadSo httpstcoFPoPukDByL,0.5556
21,Incorrigible FCA,I'm all over the place,Kelly Ernby death Republican DA who fought California vaccine mandates dies from CovidCOVIDIOTS antivaxxer httpstcoB0vzSPid0U,-0.7351
22,Kunal,Lives In Home Gifted By God,RT ponnappapran AskAnshul Amitsocool selective activismheres one moreCartoon dedicated to Rahul Shekhar Gupta Rajiv Bajaj amp,0.507
23,Thenewworldfreedom,,RT Pauline51734996 The only UK newspaper  Cheltenham to have a full page showing the vaccine deaths Please share to make viral https,0.5848
24,"AMERICANS, NEVER FORGET 01/06/2021","Iowa, USA",RT katieakin I talked to Jacobsen and Rep Bobby Kaufmann last month about the next step on employer mandates Its unclear rn how much,-0.25
25,Smitty McGrotsmeat,Cruising upon the Poopship,RT bigikefan7000 IM CURRENTLY ON MY 11TH VACCINATION I NEED TO BE STRONGER FOR IKE HE WOULD HAVE GOT THE VACCINE I KNOW IT BUT I CAN,0.2884
26,Monica Melvin,,RT AmerMilNews US judge grants 35 Navy SEALs spec ops forces temporary relief from Biden vaccine mandate httpstcoSga5mS7bPq https,0.6124
27,Marlon(SPIDAH)Hull,,RealCandaceO Shes right shes fucking right 100 what she doesnt realize is that 70 of her following is clinica httpstcobYHUM3k0Fj,0.0
28,Cius and Guyu,,sonorancapital bland24 MrGeorgeJaxson BNODesk What does immunizing mean to you What does vaccine mean to httpstcod89j0TOnWZ,0.0
29,Katy E,,RT speechboy71 Not to beat a dead horse but developing a vaccine and distributing it to this many people in such a short period of time i,-0.3919
30,Renegade unvaxxed(pure blood) Not GMO hybrid,,RT SovMichael This is being repeated widely as it shouldIf they didnt know that the vaccine would lose efficacy long termHow d,-0.4019
31,Hunter,,RT NormalGuy223 So the vaccine passports and mask mandates DIDNT work in Ontario,0.0
32,Steve Movitz,Australia/ Sweden,RT PrisonPlanet The developer of an implanted microchip that is linked to a COVID vaccine passport says that the mass chipping of humans,0.0
33,Christophe Noblet,"Kensington & Chelsea, London",RT RBKC The sciencemuseum has reopened as a Covid19 vaccination centre today If youre eligible for your first second or booster do,0.0
34,Crypto Grappler,"Ohio, USA",RT JimJackson BTexas1969 I honestly havent had time to dig through who is vaxxed and who is not but my impression is that the vaccin,0.0003
35,Nico Curci,Montreal,RT TheMarieOakes The Quebec government is poised to require vaccine passports in order to buy alcohol and cannabisIn Quebec alcohol a,0.25
36,ME (Fully Vaxxed),,RT NathanStall Doug Ford was asked what he would be doing over the next 2 weeks to make schools saferHe didnt answerListen to the,0.4215
37,Lynn Barat,,JordanPsychvet EllertNick zain49ers Jordy What do you know about the CA education system When were you last in httpstcoQY0d0VW38L,0.0
38,Kelley Rife,,RT Cernovich SEALs are hard to come by Kicking them out over a vaccine Literally a national security issue httpstcoXqUyMEYgJK,0.25
39,Pro America,,RT EWErickson How addicted to COVID fearporn is the New York Times  In this story about a 4600 increase on Puerto Rico go 13 paragra,0.3182
40,Compton Jay,,RT SocialistMMA How the hell did Joe Biden screw up the Covid19 response so badly when he had the vaccine and Trump didnt The incomp,-0.7959
41,Nikki O,,artsmoto DrAseemMalhotra He is looking at the data Would you vaccine worshippers prefer we just keep sweeping i httpstco3cNGuKqsV7,0.2023
42,Sir Germanicus The Leper 🇻🇦🏴󠁧󠁢󠁥󠁮󠁧󠁿🇮🇪,,RT BernieSpofforth SCOTLAND  where restrictions could be in place for months the police are violently arresting people in restaurants a,-0.5859
43,third dosis Soap,"Overijssel, Nederland",Ouch My muscle ache is even more intense from this vaccine than the previous time I feel like I pulled a muscle l httpstco6rpXEUkd6v,0.2679
44,Blue Bee 💙 🌳🌍🌿,United Kingdom,RT lewisgoodall We talk so much about the vaccine race in the WestBut its not the West we should be worried aboutCountries with,-0.4215
45,extra Prolific,"California, USA",RT toddstarnes How many people have been killed by the vaccine How many people have suffered severe side effects from taking the vaccine,-0.8834
46,Tyson Hunter,Back in the 406,RT EWErickson How addicted to COVID fearporn is the New York Times  In this story about a 4600 increase on Puerto Rico go 13 paragra,0.3182
47,L.G.,,RT CDCgov CDC updated its recommendations for use of PfizerBioNTechs COVID19 vaccine 1 People who got a PfizerBioNTech COVID19,0.0
48,Lankenau Institute for Medical Research,"Wynnewood, PA (Philadelphia)",New techniques for development of vaccines for covid19 and other diseases are described in a new 3volume set comi httpstcoBClOgCRtnf,0.0
49,S'port Conservatives,Southport,RT Conservatives  One year ago today the first OxfordAstraZeneca vaccine was administered  25 billion doses have now been adminis,0.0
0,Marc Emark,,SenTedCruz Too many people use fake religious freedom arguments as a loophole These brave service members shouldn httpstcoyUaDO24F5i,0.4215
1,ciciwanita, Ontario,RT MelissaLMRogers Vaccine passports are the start of the Social Credit System Already exists in some parts of China Complete control,0.3818
2,UK in Poland 🇬🇧🇵🇱,Warsaw,RT BorisJohnson A year ago the UK became the first country in the world to administer the OxfordAstraZeneca vaccineIm extremely prou,0.0
3,Stan Loves Trump,"East Coast, USA",RT cathyyoung421 Finally Justice wins No one should be forced to do something against their religious beliefs Federal Judge Grant,0.4404
4,Julian Avram,Toronto,LorneFade fordnation The vaccine passport should never have been implemented,0.0
5,dentist in distress,Darkness,RT PalmerAlan What medical condition is so severe he cant have a safe vaccine but so mild he can win 20 grand slams without any issues,0.8081
6,Koen Sleen,,RT dockaurG For 2500yrs weve known about natural immunity It is stronger amp longerlasting than if you have a vaccine Hospitals shou,0.6249
7,JaNe,"Orem, UT",RT joncoopertweets A GOP activist in California who was an ardent and vocal opponent of vaccine mandates died this week of Covid19 She,-0.128
8,Alfred Lady,"Tennessee, USA",RT toddstarnes How many people have been killed by the vaccine How many people have suffered severe side effects from taking the vaccine,-0.8834
9,bernie,"Charlotte, NC",RT americafirstmg BREAKING Federal judge just granted temporary injunction to group of Navy SEALS seeking religious exemption from vacci,0.25
10,"N95s R Needed, mildly vaxxed😷(2/3 Pfizer)",,soundtrue2 We should go tell the ausgov how we feel about giving Novak Djokovic an exemption vor the vaccine,0.34
11,Ray G. Aubrey,,RT realDailyWire Novak Djokovic To Defend Australian Open Title After Being Granted Medical Exemption From Vaccine httpstco3x53skZaa,0.25
12,Brian Ellis,,RT Chicago1Ray So the inventor of the vaccine is banned from Twitter for talking about the vaccine you cant make this shit up,-0.8047
13,Mary #FBPE #ProEU #WearaMask #GTTO💙🇪🇺,European Union 🇪🇺,RT RaviHVJ Countries that rely solely on the vaccine wont contain Omicron Countries that combine the vaccine with track and trace in,0.0
14,Ghada,,Im at COVID19 Vaccine Center in Jeddah Makkah httpstcoJ74DirXvHV,0.0
15,Will Saletan,"Washington, DC",RT TWenseleers Omicron forms a distinct antigenic cluster that is sufficiently different that if this was influenza it would likely be,0.0
16,albertarabbit 🌎,Super Natural British Columbia,Abettervision EmpireinWinter cakesalie Well all be dead before FDA releases full COVID vaccine record plai httpstcohtotkamIKJ,-0.6486
17,Gregory,United States,RT Telegraph  Fourth Covid jabs should not be offered until there is more evidence the head of Britains vaccine body has said  as he,0.0
18,June 🇺🇸🇮🇱🇺🇸,,RT tedcruz Heck no There should absolutely be no vaccine mandates for children This is a decision for parents to make not a union boss,-0.3566
19,Frankvan,,RT JeremyKnox A periodic reminder that leaving so many countries with such appallingly low vaccine coverage rates is the most predictab,-0.6249
20,jess,she/her. ohana is forever,Djokovic can play being AN ANTIVACCINES but this woman cant play because she has a Russian vaccine The world is httpstco5yt2easXdR,-0.2837
21,tracyg113,,RT WhitlockJason I used to think sports made men more courageous and now I look at it say it makes them cowards Im not a fan of the w,0.408
22,April Hunt,Atlanta,RT jwharris Id simply call his shtick tiresome but the antivaccine antimask antiscience rhetoric he spews daily is contributing to,0.0
